Trial_ID,SppVar,Seedlots,Seed_Class,StockType,Num_Planted,Planting_Comments,Assessor_Qual,Qual_Date,Qualitative_Vigour,Vigour_Variability,Best_Height_Offsite,Survival_est,Damage_Comments,SiteIndex,SiteIndex_Method,Local_Spp1,Best_Height_Local1,Local_Spp2,Best_Height_Local2,Local_Spp3,Best_Height_Local3
Fdi-2,FDI,D29,"",2+1 BR,,,,,,,,,,,,,,,,,
Fdi-3,FDI,D26,"",3+0 BR,,,,,,,,,,,,,,,,,
Fdi-4,FDI,D26 Shuswap,"",3+0 BR,,,,,,,,,,,,,,,,,
Fdi-5,FDI,D32,"",2+0 BR,,,,,,,,,,,,,,,,,
Fdi-6,FDI,D32,"",2+0 GTN,,,,,,,,,,,,,,,,,
Fdi-10,FDI,B2/377/59,"",BR 2+0,,,,,,,,,,,,,,,,,
Fdi-12,FDI,B4/689,"",BBR 2+1,,,,,,,,,,,,,,,,,
Fdi-18,FDI,93614/B2,"",BR 2+0,,,,,,,,,,,,,,,,,
Fdi-19,FDI,93K/B2/377/ 3+0,"",2+0 BBR,,,,,,,,,,,,,,,,,
Fdi-21,FDI,93G14/B2/716/2.0,"",2+1 BBR,,,,,,,,,,,,,,,,,
Fdi-22,FDI,93K3/B2/377/2.0,"",2+1 BBR,,,,,,,,,,,,,,,,,
Fdi-24,FDI,93K/B3/781/3.0,"",2+0 BR and 2+1 BBR,,,,,,,,,,,,,,,,,
Fdi-25,FDI,93K/B3/781/3.0,"",2+1 BBR,,,,,,,,,,,,,,,,,
Fdi-27,FDI,114/867/2615/2906,"",2+0 BR,,,,,,,,,,,,,,,,,
Fdi28,FDI,"114, 867, 2615, 2906","",2+0 BR,,,,,,,,,,,,,,,,,
Fdi-29,FDI,"114, 867, 2615, 2906","",2+0 BR,,,,,,,,,,,,,,,,,
Fdi-30a,FDI,"114, 867, 2615, 2906","",2+0 BR,,,,,,,,,,,,,,,,,
Fdi-30b,FDI,"114, 867, 2615, 2906","",2+0 BR,,,,,,,,,,,,,,,,,
Fdi-31a,FDI,114,"",2+0 BR,,,,,,,,,,,,,,,,,
Fdi-31b,FDI,114,"",2+0 BR,,,,,,,,,,,,,,,,,
Fdi-31c,FDI,114,"",2+0 BR,,,,,,,,,,,,,,,,,
Fdi-32Blk2,FDI,3821/1885,"",1+0 PSB 313,,,,,,,,,,,,,,,,,
Fdi-32Blk5,FDI,3821,"",1+0 PSB 313,,,,,,,,,,,,,,,,,
Fdi-32Blk6,FDI,1885,"",1+0 PSB 313,,,,,,,,,,,,,,,,,
93K003-4,FDI,3821,"",1+0 PSB 313,,,,,,,,,,,,,,,,,
93K003-6,FDI,3821,"",??,,,,,,,,,,,,,,,,,
93K003-20,FDI,3821,"",??,,,,,,,,,,,,,,,,,
93K003-51,FDI,14502,"",??,,,,,,,,,,,,,,,,,
93M002-28,FDI,8492,"",??,,,,,,,,,,,,,,,,,
93M011-88,FDI,8492,"",??,,,,,,,,,,,,,,,,,
93M033-7,FDI,"8492, 8580, 1256","",??,,,,,,,,,,,,,,,,,
93M033-8,FDI,8580,"",??,,,,,,,,,,,,,,,,,
93M033-9,FDI,1256,"",??,,,,,,,,,,,,,,,,,
93M042-29,FDI,8492,"",??,,,,,,,,,,,,,,,,,
93M052-28,FDI,1256,"",??,,,,,,,,,,,,,,,,,
103I099-3,FDI,8492,"",??,,,,,,,,,,,,,,,,,
103P050-14,FDI,8381,"",??,,,,,,,,,,,,,,,,,
Fdc-7,FDC,D47-1.5,"",2+0 BR,,,,,,,,,,,,,,,,,
Fdc-10,FDC,3868,"",1+0 PSB 313,,,,,,,,,,,,,,,,,
