Trial_ID,Trial_Name,SppComposition_Label,PlantingYear,Project_Name,EP,Trial_Type,Latitude,Longitude,Elevation,Slope,Aspect,BGCv12,BGC,SS_NoSpace,SMR,SNR,SiteSoilFactor1,SiteSoilFactor2,SiteSoilFactor3,SitePrep,PlantingDate,PlantingSeason,Comments_Site
093E098-19,,,1982,Skeena_Offsite,,Operational,53.95286,-126.4826,850,3,240,,SBSdk,SBSdk/03,,,,,,,,May,Trans to ESSFmc
103I028-803(b),,,1984,Skeena_Offsite,,Operational,54.2959,-128.49918,230,3,999,,CWHws1,CWHws1/01,,,,,,,,April,
103I048-37,,,1987,Skeena_Offsite,,Operational,54.42217,-128.57082,286,20,260,,CWHws1,CWHws1/04,,,,,,,,May,
103I099-3,,,1992,Skeena_Offsite,,Operational,54.9422,-128.36409,417,8,235,,ICHmc2,ICHmc2/02,,,,,,,,June,site series 4 tending to 1
103P050-14,,,1989,Skeena_Offsite,,Operational,55.40992,-128.1245,583,30,220,,ICHmc2,ICHmc2/01,,,,,,,,June,Ft. St. James seedlot
93E100-96,,,1982,Skeena_Offsite,,Operational,53.92669,-126.14781,1008,20,340,,SBSmc2,SBSmc2/06,,,,,,,,May,"Fixed radius plot, all trees except Pl in tally were < 7.5 cm DBH (2 seedlings not indicated in tally)"
93K003-20,,,1988,Skeena_Offsite,,Operational,54.04188,-125.50333,805,35,30,,SBSdk,SBSdk/06,,,,,,,,June,
93K003-4,,,1986,Skeena_Offsite,,Operational,54.04407,-125.43122,840,3,150,,SBSdk,SBSdk/05,,,,,,,,July,
93K003-50,,,1982,Skeena_Offsite,,Operational,54.08054,-125.42896,746,5,315,,SBSdk,SBSdk/05,,,,,,,,May,04 tending to 01
93K003-51,,,1991,Skeena_Offsite,,Operational,54.02893,-125.42481,804,5,999,,SBSdw3,SBSdw3/01,,,,,,,,May,
93K003-6,,,1988,Skeena_Offsite,,Operational,54.03647,-125.43558,840,15,310,,SBSdw3,SBSdw3/01,,,,,,,,May,
93L048-32,,,1981,Skeena_Offsite,,Operational,54.42758,-126.48343,804,20,50,,SBSdk,SBSdk/06,,,,,,,,May,
93M002-28,,,1992,Skeena_Offsite,EP973.03,Research,55.05141,-127.74502,457,30,80,,ICHmc2,ICHmc2/03,,,,,,,,May,
93M011-88,,,1992,Skeena_Offsite,,Operational,55.18853,-127.8791,750,5,999,,ICHmc2,ICHmc2/03,,,,,,,,May,trans to SBSmc2
93M033-7,,,1992,Skeena_Offsite,,Operational,55.34732,-127.56361,715,30,295,,ICHmc2,ICHmc2/03,,,,,,,,,Dispersed tree plot
