Trial type,Trial_ID,Replicate,Latitude,Longitude,Elevation,Aspect,Slope,BGC,SS_NoSpace,SMR,SNR,Spp_Code,Planting Year,Local_or_Offsite, BHAge,DBH,Best_Height,Y2BHA,SI50,NodeHeight2,NodeHeight3,NodeHeight4,Damage,Severity,Best_Vigour,Survival_est,Vigour_Variability,Num_Planted,Comment
Research,Ep976_Bell,Rep1,56.35707452,-129.2810139,430, ,0,ICHvc,ICHvc/02-01,4,C,Pw,1988,O,"
30","
34.8",20.1,9,30.5,,,,Forks1,?,1,Excellent,1,,
Research,Ep976_Bell,Rep2,56.35714534,-129.2810286,430, ,2,ICHvc,ICHvc/02-01,4,C,Lw,1988,O,"
30","
27.3",22.8,7,30.8,,,,Snowbend1,?,1,Excellent,2,,
Research,Ep976_Bell,Rep3,56.35715365,-129.2794604,440,230,5,ICHvc,ICHvc/01,4,C,Fdi,1988,O,"
31","
33.5",18.9,9,27.5,,,,Forks2,?,1,Excellent,1,,
Research,Ep976_Bell,Rep4,56.35732265,-129.2818672,430, ,2,ICHvc,ICHvc/02-01,4,C,Pw,1988,O,"
29","
36",20.3,9,31.5,,,,Forks1,?,1,Excellent,1,,
Research,Ep976_Bell,Rep5,56.35815098,-129.2826212,430, ,0,ICHvc,ICHvc/02-01,4,C,Lw,1988,O,"
30","
27.8",19.3,7,26.9,,,,Snowbend1,?,1,Excellent,2,,
Operational,1418119,Rep1,"52.0050111439669
",-122.397912,944,0,5,,"
IDFdk3",,,Pli ,2012,L,8,"7.8
","5.3
",4,"23.5
","4.5
","4
","3.4
",,,,,,,
Operational,1418119,Rep2,"52.0050111439669
",-122.397912,944,0,5,,IDFdk3,05-Apr,C,PY,2012,O,6,6.1,3.8,,20.8,3.3,2.8,2.4,,,2,Good,,,
Research,Ep904.02_Py,,"52.00759073
",-122.8478776,1248,,,,?,4,C,"
LW
",1987,O,"
28","
14.2","
7.5",,"
28",,,,,,,,,,
Operational,1418115,Rep1,"52.0321335624645
",-122.3951355,,270,12,,"
IDFdk3",4,C,"Pli 
",2012,L,7,5.2,3.62,4,18.7,3.35,2.7,2.31,,,,,,,
Operational,1418115,Rep2,"52.0321335624645
",-122.3951355,,270,12,,IDFdk3,4,C,PY,2012,O,4,4.8,2.65,5,18.9,2.36,2,1.55,,,2,Good,,,
Operational,120343,Rep1,"52.2384714559441
",-122.6157085,,,5,IDFdk3,IDFdk3/01,,,Pli ,2014,L,5,,3.32,,20.5,2.72,2.08,1.75,,,,,,,
Operational,120343,Rep2,"52.2384714559441
",-122.6157085,,,5,IDFdk3,IDFdk3/01,,,PY,2014,O,2,,2.05,,19.4,1.68,1.31,1.01,,,03-Feb,Good_fair,,,Less frost damage on this site than adjacent site.  Py will be overtopped soon and likely become suppressed
Operational,120341,,"52.24052388
",-122.6088592,,,0,,IDFdk3,4,C,PY,2014,O,,,,,,,,,,,02-Jan,Good,,,Fair
Operational,107293,Rep1,"52.2543589261649
",-122.770379,,45,3,SBPSdc,"IDFdk3/01
",4,C,Pli,2013,L,"
3",,"2.46
",4,20.2,,,,,,,,,,
Operational,107293,Rep2,"52.2543589261649
",-122.770379,,45,3,SBPSdc,"IDFdk3/01
",4,C,FDI,2013,O,"
3",,2.25,9,"
25.8",,,,,,1,Good,,, Natural fdi in stand.  Seems that SBPS boundary is further west.  Likely still IDFdk3 here.  
Operational,1294939,Rep1,"52.334051392963
",-122.9375726,,0,0,SBPSdc,"SBPSdc/01
",05-Apr,C,"Pli 
",2015,L,,,2.21,,,,,,,,,,,,
Operational,1294939,Rep2,"52.334051392963
",-122.9375726,,0,0,SBPSdc,"SBPSdc/01
",05-Apr,C,FDI,2015,O,,,0.36,,,,,,NGK,High,4,Poor,,,
Operational,1294938,Rep1,"52.3404225968698
",-122.9453751,1180,0,0,SBPSdc,"SBPSdc/01
",4,C,"Pli 
",2015,L,,,,,,,,,,,,,,,
Operational,1294938,Rep2,"52.3404225968698
",-122.9453751,1180,0,0,SBPSdc,"SBPSdc/01
",4,C,FDI,2015,O,,,,,,,,,NGK,High,5,Failed,,,No fdi found Looks like all fdi died. 
Operational,1447316,Rep1,"52.3688095516193
",-122.9965262,1169,0,5,SBPSdc,"SBPSdc/01
",4,C,Pli ,2015,L,,,1.76,,,,,,,,,,,,
Operational,1447316,Rep2,"52.3688095516193
",-122.9965262,1169,0,5,SBPSdc,SBPSdc/01,4,C,FDI,2015,O,,,0.25,,,,,,NGK,High,4,Poor,,,Only 1 individual found
Operational,1071353,Rep1,"52.5265905795937
",-121.7824914,1120,320,25,SBSdw1,"SBSdw1/01
",4,C,"Pli
 ",2007,L,12,12.4,5.9,4,25.7,5.1,4.9,4.5,,,,,,,
Operational,1071353,Rep2,"52.5265905795937
",-121.7824914,1120,320,25,SBSdw1,SBSdw1/01,4,C,PW,2007,O,7,7.7,5.1,9,34.3,4.2,3.5,3,?,?,4,Poor ,,,"Some sort of disturbance in this Standards unit killed a lot of regen.  Recently fill planted. Majority of SU is 
subxeric but live Pw on mesic ground.  Olny 4 individuals found"
Operational,1270232,Rep1,"52.5694116601236
",-121.7924735,1000,270,15,SBSdw1,"SBSdw1/01
",05-Apr,C,"Pli 
",2010,L,"11
","8.3
","5.3
",4,"19.5
","4.9
","4.7
","
",,,,,,,
Operational,1270232,Rep2,"52.5694116601236
",-121.7924735,1000,270,15,SBSdw1,"SBSdw1/01
",05-Apr,C,LW,2010,O,11,10.4,6.9,7,22.2,6.2,5.6,4.9,Forking, low ,1,Good,,,Larch outperforming Pli on this site 
Operational,1270230,Rep1,"52.5833890341167
",-121.7996603,1045,180,5,SBSdw1,"SBSdw1/01
",05-Apr,C,"Pli 
",2010,L,"9
","9.4
","5.3
",4,"21.4
","4.7
","4
","3.5
",,,,,,,
Operational,1270230,Rep2,"52.5833890341167
",-121.7996603,1045,180,5,SBSdw1,SBSdw1/01,05-Apr,C,LW,2010,O,10,8.5,6.6,7,22.6,5.8,5.1,4.5,Scars,?,02-Jan,Excellent_good,,,Scar on stems of 2 Lw not sure what caused them. Both ar same height of 1.6m
Operational,54473,Rep1,"53.37601881
",-123.7181123,1000,55,10,SBPSdc,SBPSdc/08,05-Apr,C,Sx ,1999,L,25,,12.6,,22.4,12.1,11.7,,,,,,,,
Operational,54473,Rep2,"53.37601881
",-123.7181123,1000,55,10,SBPSdc,SBPSdc/08,05-Apr,C,FD,1999,O,31,,16.1,,23.7,15.1,14.4,,,,1,Excellent,,,Suspect these are naturals
Operational,1184112,Rep1,"53.3817855429566
",-123.7037036,1000,0,0,SBPSmk,SBPSdc/01 ,05-Apr,C,Pli ,2009,L,,,6.2,,,5.4,5,4.8,,,,,,,
Operational,1184112,Rep2,"53.3817855429566
",-123.7037036,1000,0,0,SBPSmk,SBPSdc/01 ,,,LW,2009,O,11,,7.8,,23.8,7.2,6.7,5.5,NGK,low  ,02-Jan,Good,,,
Operational,1683237,Rep1,"53.4025338338488
",-123.6744689,950,0,0,SBPSmk,"SBPSdc/06
",5,B,"Pli 
",2019,L,,,"0.91
",,,"0.67
",0.34,,,,,,,,
