species,rating,age,si50
Fdi,P,11,5
Fdi,F,11,10
Fdi,G,11,20
Fdi,E,11,30
Fdi,S,11,40
Lw,P,11,5
Lw,F,11,10
Lw,G,11,20
Lw,E,11,30
Lw,S,11,40
Fdc,P,11,5
Fdc,F,11,10
Fdc,G,11,20
Fdc,E,11,30
Fdc,S,11,40
Pw,P,11,5
Pw,F,11,10
Pw,G,11,20
Pw,E,11,30
Pw,S,11,40
Sx,P,11,5
Sx,F,11,10
Sx,G,11,20
Sx,E,11,30
Sx,S,11,40
Pl,P,11,5
Pl,F,11,10
Pl,G,11,20
Pl,E,11,30
Pl,S,11,40
Ba,P,11,5
Ba,F,11,10
Ba,G,11,20
Ba,E,11,30
Ba,S,11,40
Bg,P,11,5
Bg,F,11,10
Bg,G,11,20
Bg,E,11,30
Bg,S,11,40
Bl,P,11,5
Bl,F,11,10
Bl,G,11,20
Bl,E,11,30
Bl,S,11,40
Hw,P,11,5
Hw,F,11,10
Hw,G,11,20
Hw,E,11,30
Hw,S,11,40
Py,P,11,5
Py,F,11,10
Py,G,11,20
Py,E,11,30
Py,S,11,40
Ss,P,11,5
Ss,F,11,10
Ss,G,11,20
Ss,E,11,30
Ss,S,11,40
Yc,P,11,5
Yc,F,11,10
Yc,G,11,20
Yc,E,11,30
Yc,S,11,40
At,P,11,5
At,F,11,10
At,G,11,20
At,E,11,30
At,S,11,40
Ep,P,11,5
Ep,F,11,10
Ep,G,11,20
Ep,E,11,30
Ep,S,11,40
Cw,P,11,5
Cw,F,11,10
Cw,G,11,20
Cw,E,11,30
Cw,S,11,40
