Trial_ID,Trial_Name,SppComposition_Label,PlantingYear,Project_Name,EP,Trial_Type,Latitude,Longitude,Elevation,Slope,Aspect,BGCv12,BGC,SS_NoSpace,SMR,SNR,SiteSoilFactor1,SiteSoilFactor2,SiteSoilFactor3,SitePrep,PlantingDate,PlantingSeason,Comments_Site,SppVar,Seedlots,Seed_Class,StockType,Num_Planted,Planting_Comments,Assessor_Qual,Qual_Date,Qualitative_Vigour,Vigour_Variability,Best_Height_Offsite,Survival_est,Damage_Comments,SiteIndex,SiteIndex_Method,Local_Spp1,Best_Height_Local1,Local_Spp2,Best_Height_Local2,Local_Spp3,Best_Height_Local3
093E098-19,"","",1982,Skeena_Offsite,"",Operational,53.95286,-126.4826,850,3,240,"",SBSdk,SBSdk/03,"",,,,,,,May,Trans to ESSFmc,LW,2554,"",1+0 PSB 313,,,,,,,,,,,,,,,,,
103I028-803(b),"","",1984,Skeena_Offsite,"",Operational,54.2959,-128.49918,230,3,999,"",CWHws1,CWHws1/01,"",,,,,,,April,"",LW,2506,"",1+0 PSB 313,,,,,,,,,,,,,,,,,
103I048-37,"","",1987,Skeena_Offsite,"",Operational,54.42217,-128.57082,286,20,260,"",CWHws1,CWHws1/04,"",,,,,,,May,"",FDC,402,"",2+0 BR,,,,,,,,,,,,,,,,,
103I099-3,"","",1992,Skeena_Offsite,"",Operational,54.9422,-128.36409,417,8,235,"",ICHmc2,ICHmc2/02,"",,,,,,,June,site series 4 tending to 1,FDI,8492,"",??,,,,,,,,,,,,,,,,,
103P050-14,"","",1989,Skeena_Offsite,"",Operational,55.40992,-128.1245,583,30,220,"",ICHmc2,ICHmc2/01,"",,,,,,,June,Ft. St. James seedlot,FDI,8381,"",??,,,,,,,,,,,,,,,,,
93E100-96,"","",1982,Skeena_Offsite,"",Operational,53.92669,-126.14781,1008,20,340,"",SBSmc2,SBSmc2/06,"",,,,,,,May,"Fixed radius plot, all trees except Pl in tally were < 7.5 cm DBH (2 seedlings not indicated in tally)",LW,5101,"",1+0 PSB 313,,,,,,,,,,,,,,,,,
93K003-20,"","",1988,Skeena_Offsite,"",Operational,54.04188,-125.50333,805,35,30,"",SBSdk,SBSdk/06,"",,,,,,,June,"",FDI,3821,"",??,,,,,,,,,,,,,,,,,
93K003-4,"","",1986,Skeena_Offsite,"",Operational,54.04407,-125.43122,840,3,150,"",SBSdk,SBSdk/05,"",,,,,,,July,"",FDI,3821,"",1+0 PSB 313,,,,,,,,,,,,,,,,,
93K003-50,"","",1982,Skeena_Offsite,"",Operational,54.08054,-125.42896,746,5,315,"",SBSdk,SBSdk/05,"",,,,,,,May,04 tending to 01,LW,5101,"",1+0 PSB 313B,,,,,,,,,,,,,,,,,
93K003-51,"","",1991,Skeena_Offsite,"",Operational,54.02893,-125.42481,804,5,999,"",SBSdw3,SBSdw3/01,"",,,,,,,May,"",FDI,14502,"",??,,,,,,,,,,,,,,,,,
