Avenza_label,Trial_Type,SppComposition_Label,SppVar,PlantingYear,Num_Planted,Latitude,Longitude,Elevation,Slope,Aspect,BGC,SS_NoSpace,SMR_SNR,Assessor_Qual,Qual_Date,Qualitative_Vigour,Vigour_Variability,Best_Height_Offsite,DamageandSeverity,Survival_est,Local_Spp1,Best_Height_Local1,Local_Spp2,Best_Height_Local2,Local_Spp3,Best_Height_Local3,QuanitativeCollected,Comments_Trial
LW_1982_093E098-19,Operational,"",LW,1982,,53.95286,-126.4826,850,3,240,SBSdk,SBSdk/03,,,,,,,,,,,,,,,,""
LW_1984_103I028-803(b),Operational,"",LW,1984,,54.2959,-128.49918,230,3,999,CWHws1,CWHws1/01,,,,,,,,,,,,,,,,""
FDC_1987_103I048-37,Operational,"",FDC,1987,,54.42217,-128.57082,286,20,260,CWHws1,CWHws1/04,,,,,,,,,,,,,,,,""
FDI_1989_103P050-14,Operational,"",FDI,1989,,55.40992,-128.1245,583,30,220,ICHmc2,ICHmc2/01,,,,,,,,,,,,,,,,""
LW_1982_93E100-96,Operational,"",LW,1982,,53.92669,-126.14781,1008,20,340,SBSmc2,SBSmc2/06,,,,,,,,,,,,,,,,""
FDI_1988_93K003-20,Operational,"",FDI,1988,,54.04188,-125.50333,805,35,30,SBSdk,SBSdk/06,,,,,,,,,,,,,,,,""
FDI_1986_93K003-4,Operational,"",FDI,1986,,54.04407,-125.43122,840,3,150,SBSdk,SBSdk/05,,,,,,,,,,,,,,,,""
LW_1982_93K003-50,Operational,"",LW,1982,,54.08054,-125.42896,746,5,315,SBSdk,SBSdk/05,,,,,,,,,,,,,,,,""
FDI_1988_93K003-6,Operational,"",FDI,1988,,54.03647,-125.43558,840,15,310,SBSdw3,SBSdw3/01,,,,,,,,,,,,,,,,""
LW_1981_93L048-32,Operational,"",LW,1981,,54.42758,-126.48343,804,20,50,SBSdk,SBSdk/06,,,,,,,,,,,,,,,,""
FDI_1989_93M033-8,Operational,"",FDI,1989,,55.33124,-127.56596,697,45,250,ICHmc2,ICHmc2/03,,,,,,,,,,,,,,,,""
FDI_1989_93M033-9,Operational,"",FDI,1989,,55.33297,-127.57175,575,40,265,ICHmc2,ICHmc2/01,,,,,,,,,,,,,,,,""
FDI_1989_93M052-28,Operational,"",FDI,1989,,55.51593,-127.73379,432,5,130,ICHmc2,ICHmc2/01,,,,,,,,,,,,,,,,""
FDC_1982_Fdc-10,Operational,"",FDC,1982,,54.29379,-128.50079,227,3,999,CWHws1,CWHws1/02,,,,,,,,,,,,,,,,""
FDC_1982_Fdc-13,Operational,"",FDC,1982,,54.2656,-128.81303,348,45,155,CWHws1,CWHws1/01,,,,,,,,,,,,,,,,""
FDC_1960_Fdc-7,Operational,"",FDC,1960,,54.72796,-128.85074,293,35,230,CWHws1,CWHws1/04,,,,,,,,,,,,,,,,""
FDI_1962_Fdi-10,Operational,"",FDI,1962,,54.17801,-125.43723,853,20,200,SBSdk,SBSdk/01,,,,,,,,,,,,,,,,""
FDI_1963_Fdi-12,Operational,"",FDI,1963,,54.1869,-125.44651,960,10,225,SBSdk,SBSdk/03,,,,,,,,,,,,,,,,""
FDI_1963_Fdi-18,Operational,"",FDI,1963,,54.19529,-125.43512,933,3,200,SBSdk,SBSdk/03,,,,,,,,,,,,,,,,""
FDI_1964_Fdi-19,Operational,"",FDI,1964,,54.18021,-125.43345,898,15,150,SBSdK,SBSdK/01,,,,,,,,,,,,,,,,""
FDI_1957_Fdi-2,Operational,"",FDI,1957,,54.77175,-126.82462,1060,48,220,SBSmc2,SBSmc2/05,,,,,,,,,,,,,,,,""
FDI_1964_Fdi-21,Operational,"",FDI,1964,,54.17926,-125.43301,884,,,SBSdk,SBSdk/01,,,,,,,,,,,,,,,,""
FDI_1964_Fdi-22,Operational,"",FDI,1964,,54.17964,-125.43548,882,50,200,SBSdk,SBSdk/04,,,,,,,,,,,,,,,,""
FDI_1966_Fdi-24,Operational,"",FDI,1966,,54.5156,-126.51275,852,8,80,SBSdk,SBSdk/01,,,,,,,,,,,,,,,,""
