site,spp.pop,rep,tree,age,height,SI50
BELL,Fd_CP,1,1,10,3.13,31.69
BELL,Fd_CP,1,1,15,6.62,30.93
BELL,Fd_CP,1,1,20,9.8,29.82
BELL,Fd_CP,1,1,25,12.2,27.97
BELL,Fd_CP,1,1,30,14.6,27.09
BELL,Fd_CP,1,2,10,2.97,30.63
BELL,Fd_CP,1,2,15,5.86,28.11
BELL,Fd_CP,1,2,20,8.9,27.53
BELL,Fd_CP,1,2,25,11.4,26.41
BELL,Fd_CP,1,2,30,12.8,24.15
BELL,Fd_CP,1,3,10,2.3,25.44
BELL,Fd_CP,1,3,15,5.46,26.53
BELL,Fd_CP,1,3,20,8.8,27.26
BELL,Fd_CP,1,3,25,11.3,26.2
BELL,Fd_CP,1,3,30,14.3,26.59
BELL,Fd_CP,1,4,10,2.48,26.82
BELL,Fd_CP,1,4,15,5.32,26.02
BELL,Fd_CP,1,4,20,7.9,24.93
BELL,Fd_CP,1,4,25,9.9,23.4
BELL,Fd_CP,1,4,30,12.2,23.16
BELL,Fd_CP,1,5,10,2.58,27.57
BELL,Fd_CP,1,5,15,5.42,26.42
BELL,Fd_CP,1,5,20,8.2,25.72
BELL,Fd_CP,1,5,25,11,25.61
BELL,Fd_CP,1,5,30,13.7,25.61
BELL,Fd_CP,1,6,10,1.93,22.44
BELL,Fd_CP,1,6,15,4.6,23.29
BELL,Fd_CP,1,6,20,7.2,23.12
BELL,Fd_CP,1,6,25,10.1,23.83
BELL,Fd_CP,1,6,30,12.7,23.96
BELL,Fd_CP,1,7,10,2.62,27.92
BELL,Fd_CP,1,7,15,5.85,28.06
BELL,Fd_CP,1,7,20,8.7,26.98
BELL,Fd_CP,1,7,25,11.2,25.99
BELL,Fd_CP,1,7,30,14,26.09
BELL,Fd_CP,1,8,10,1.79,21.26
BELL,Fd_CP,1,8,15,4.4,22.48
BELL,Fd_CP,1,8,20,7.5,23.91
BELL,Fd_CP,1,8,25,10.6,24.8
BELL,Fd_CP,1,8,30,13.4,25.13
BELL,Fd_CP,1,9,10,3.5,34.45
BELL,Fd_CP,1,9,15,7.04,32.45
BELL,Fd_CP,1,9,20,10.5,31.58
BELL,Fd_CP,1,9,25,12.3,28.16
BELL,Fd_CP,1,9,30,16.2,29.68
BELL,Fd_CP,1,10,10,2.92,30.2
BELL,Fd_CP,1,10,15,6.15,29.16
BELL,Fd_CP,1,10,20,8.8,27.26
BELL,Fd_CP,1,10,25,11.9,27.38
BELL,Fd_CP,1,10,30,14.7,27.25
BELL,Fd_CP,1,10,10,2.6,27.79
BELL,Fd_CP,1,10,15,4.87,24.35
BELL,Fd_CP,1,10,20,7.8,24.68
BELL,Fd_CP,1,10,25,11,25.61
BELL,Fd_CP,1,10,30,12.8,24.15
BELL,Fd_CP,1,9,10,2.61,27.89
BELL,Fd_CP,1,9,15,5.72,27.53
BELL,Fd_CP,1,9,20,9.1,28.01
BELL,Fd_CP,1,9,25,12,27.56
BELL,Fd_CP,1,9,30,15.5,28.55
BELL,Fd_CP,1,8,10,0.88,
BELL,Fd_CP,1,8,15,1.47,10.11
BELL,Fd_CP,1,8,20,2.5,10.31
BELL,Fd_CP,1,8,25,2.2,7.25
BELL,Fd_CP,1,8,30,2.5,6.52
BELL,Fd_CP,1,7,10,2.27,25.25
BELL,Fd_CP,1,7,15,5.27,25.86
BELL,Fd_CP,1,7,20,7.5,23.91
BELL,Fd_CP,1,7,25,9.9,23.4
BELL,Fd_CP,1,7,30,12.9,24.29
BELL,Fd_CP,1,6,10,2.59,27.68
BELL,Fd_CP,1,6,15,5.83,27.97
BELL,Fd_CP,1,6,20,9,27.77
BELL,Fd_CP,1,6,25,11.6,26.78
BELL,Fd_CP,1,6,30,14.7,27.25
BELL,Fd_CP,1,5,10,2.02,23.23
BELL,Fd_CP,1,5,15,5.17,25.45
BELL,Fd_CP,1,5,20,8.2,25.72
BELL,Fd_CP,1,5,25,11.2,25.99
BELL,Fd_CP,1,5,30,14.3,26.59
BELL,Fd_CP,1,4,10,1.37,17.47
BELL,Fd_CP,1,4,15,3.27,17.99
BELL,Fd_CP,1,4,20,5.7,19.19
BELL,Fd_CP,1,4,25,5.1,13.63
BELL,Fd_CP,1,4,30,8.1,16.33
BELL,Fd_CP,1,3,10,1.56,19.31
BELL,Fd_CP,1,3,15,2.19,13.48
BELL,Fd_CP,1,3,20,2.6,10.6
BELL,Fd_CP,1,3,25,,
BELL,Fd_CP,1,3,30,,
BELL,Fd_CP,1,2,10,2.48,26.82
BELL,Fd_CP,1,2,15,5.62,27.13
BELL,Fd_CP,1,2,20,8.4,26.25
BELL,Fd_CP,1,2,25,11,25.61
BELL,Fd_CP,1,2,30,14.2,26.43
BELL,Fd_CP,1,1,10,1.45,18.13
BELL,Fd_CP,1,1,15,2.8,16.1
BELL,Fd_CP,1,1,20,3.9,14.32
BELL,Fd_CP,1,1,25,,
BELL,Fd_CP,1,1,30,,
BELL,Fd_CP,1,1,10,2.21,24.72
BELL,Fd_CP,1,1,15,5.19,25.54
BELL,Fd_CP,1,1,20,8.6,26.74
BELL,Fd_CP,1,1,25,11.3,26.2
BELL,Fd_CP,1,1,30,14.9,27.56
BELL,Fd_CP,1,2,10,2.77,29.09
BELL,Fd_CP,1,2,15,5.77,27.77
BELL,Fd_CP,1,2,20,8.7,26.98
BELL,Fd_CP,1,2,25,11.2,25.99
BELL,Fd_CP,1,2,30,14.3,26.59
BELL,Fd_CP,1,3,10,2.56,27.52
BELL,Fd_CP,1,3,15,5.24,25.71
BELL,Fd_CP,1,3,20,8.8,27.26
BELL,Fd_CP,1,3,25,12.2,27.97
BELL,Fd_CP,1,3,30,14.3,26.59
BELL,Fd_CP,1,4,10,1.39,17.55
BELL,Fd_CP,1,4,15,1.91,12.24
BELL,Fd_CP,1,4,20,3.1,12.06
BELL,Fd_CP,1,4,25,5.1,13.63
BELL,Fd_CP,1,4,30,1.9,5.34
BELL,Fd_CP,1,5,10,2.6,27.79
BELL,Fd_CP,1,5,15,5.27,25.86
BELL,Fd_CP,1,5,20,8.2,25.72
BELL,Fd_CP,1,5,25,10.8,25.19
BELL,Fd_CP,1,5,30,13.3,24.96
BELL,Fd_CP,1,6,10,3,30.75
BELL,Fd_CP,1,6,15,5.52,26.82
BELL,Fd_CP,1,6,20,8.2,25.72
BELL,Fd_CP,1,6,25,10.9,25.42
BELL,Fd_CP,1,6,30,13.6,25.45
BELL,Fd_CP,1,7,10,1.81,21.49
BELL,Fd_CP,1,7,15,4.52,22.95
BELL,Fd_CP,1,7,20,7.5,23.91
BELL,Fd_CP,1,7,25,10,23.59
BELL,Fd_CP,1,7,30,12.5,23.63
BELL,Fd_CP,1,8,10,1.95,22.67
BELL,Fd_CP,1,8,15,5.18,25.5
BELL,Fd_CP,1,8,20,7.8,24.68
BELL,Fd_CP,1,8,25,10.5,24.61
BELL,Fd_CP,1,8,30,13.3,24.96
BELL,Fd_CP,1,9,10,0.44,
BELL,Fd_CP,1,9,15,0.65,
BELL,Fd_CP,1,9,20,,
BELL,Fd_CP,1,9,25,0.4,
BELL,Fd_CP,1,9,30,,
BELL,Fd_CP,1,10,10,2.87,29.78
BELL,Fd_CP,1,10,15,6.12,29.07
BELL,Fd_CP,1,10,20,9.4,28.79
