ID1,ID2,lat,long,el
093E098-19,LW,53.95286,-126.4826,850
103I028-803(b),LW,54.2959,-128.49918,230
103I048-37,FDC,54.42217,-128.57082,286
103I099-3,FDI,54.9422,-128.36409,417
103P050-14,FDI,55.40992,-128.1245,583
93E100-96,LW,53.92669,-126.14781,1008
93K003-20,FDI,54.04188,-125.50333,805
93K003-4,FDI,54.04407,-125.43122,840
93K003-50,LW,54.08054,-125.42896,746
93K003-51,FDI,54.02893,-125.42481,804
93K003-6,FDI,54.03647,-125.43558,840
93L048-32,LW,54.42758,-126.48343,804
93M002-28,FDI,55.05141,-127.74502,457
93M011-88,FDI,55.18853,-127.8791,750
93M033-7,FDI,55.34732,-127.56361,715
93M033-8,FDI,55.33124,-127.56596,697
93M033-9,FDI,55.33297,-127.57175,575
93M042-29,FDI,55.40914,-127.70159,306
93M052-28,FDI,55.51593,-127.73379,432
Fdc-10,FDC,54.29379,-128.50079,227
Fdc-13,FDC,54.2656,-128.81303,348
Fdc-7,FDC,54.72796,-128.85074,293
Fdi-10,FDI,54.17801,-125.43723,853
Fdi-12,FDI,54.1869,-125.44651,960
Fdi-18,FDI,54.19529,-125.43512,933
Fdi-19,FDI,54.18021,-125.43345,898
Fdi-2,FDI,54.77175,-126.82462,1060
Fdi-21,FDI,54.17926,-125.43301,884
Fdi-22,FDI,54.17964,-125.43548,882
Fdi-24,FDI,54.5156,-126.51275,852
Fdi-25,FDI,54.28074,-125.21255,890
Fdi-27,FDI,53.83325,-126.92941,988
Fdi28,FDI,53.83032,-126.84023,961
Fdi-29,FDI,53.87794,-126.84869,1005
Fdi-3,FDI,54.72089,-128.83841,248
Fdi-30a,FDI,53.60554,-125.56045,990
Fdi-30b,FDI,53.60459,-125.5525,1030
Fdi-31a,FDI,53.61797,-125.69922,1031
Fdi-31b,FDI,53.61715,-125.68642,1025
Fdi-31c,FDI,53.62114,-125.6785,1095
Fdi-32Blk2,FDI,54.2991,-125.4663,1074
Fdi-32Blk5,FDI,54.32799,-125.52386,1005
Fdi-32Blk6,FDI,54.32599,-125.52466,960
Fdi-4,FDI,54.72248,-128.8412,250
Fdi-5,FDI,54.76905,-128.82713,248
Fdi-6,FDI,54.78572,-126.12472,765
Lw- 11,LW,54.93898,-127.58494,706
Lw-10(a),LW,53.62114,-125.6785,1100
Lw-10(b),LW,53.61707,-125.68651,1022
Lw-12,LW,54.97016,-126.76878,965
Lw1a,LW,54.70792,-128.79793,164
Lw1b,LW,54.70821,-128.79706,150
Lw2a,LW,54.7075,-128.79965,150
Lw2b,LW,54.70823,-128.80095,150
Lw3,LW,54.30722,-128.50334,308
Lw4,LW,54.32648,-128.48763,466
Lw5,LW,54.30257,-128.4637,336
Lw7,LW,54.01582,-127.2548,996
Lw-8,LW,54.479611,-126.853472,640
Lw-9(a),LW,53.60554,-125.56045,990
Lw-9(b),LW,53.60444,-125.5527,1020
EP1392-FNEL,YC,59.105,-123.15167,380
EP1392-FNEL,BG,59.105,-123.15167,380
EP1392-FNEL,LW,59.105,-123.15167,380
EP1392-FNEL,YC,59.105,-123.15167,380
EP1392-FNEL,PY,59.105,-123.15167,380
EP1392-FNEL,LW,59.105,-123.15167,380
EP1392-FNEL,LW,59.105,-123.15167,380
EP1392-FNEL,FDI,59.105,-123.15167,380
EP1392-FNEL,CW,59.105,-123.15167,380
EP1392-FNEL,FDC,59.105,-123.15167,380
EP1392-FNEL,FDC,59.105,-123.15167,380
EP1392-FNEL,FDC,59.105,-123.15167,380
EP1392-FSJN,YC,56.54392,-121.30372,840
EP1392-FSJN,PW,56.54392,-121.30372,840
EP1392-FSJN,BA,56.54392,-121.30372,840
EP1392-FSJN,PW,56.54392,-121.30372,840
EP1392-FSJN,FDI,56.54392,-121.30372,840
EP1392-FSJN,FDI,56.54392,-121.30372,840
EP1392-FSJN,YC,56.54392,-121.30372,840
EP1392-FSJN,FDI,56.54392,-121.30372,840
EP1392-FSJN,PY,56.54392,-121.30372,840
EP1392-FSJN,PY,56.54392,-121.30372,840
EP1392-FSJN,LW,56.54392,-121.30372,840
EP1392-FSJN,LW,56.54392,-121.30372,840
EP1392-FSJN,FDC,56.54392,-121.30372,840
EP1392-FSJN,CW,56.54392,-121.30372,840
