Trial_ID,SppVar,Latitude,Longitude,Elevation,DD5,CMD,Tmin_sp,bFFP
54479,BA,52.63087863,-125.5733019,-9999,727,256,-5.3,177
1611859,BA,52.57275099,-123.312832,-9999,859,279,-4.8,173
-50340000,BA,54.81588898,-127.6725171,-9999,682,124,-4,170
16537,BA,55.36205175,-128.2747821,-9999,580,15,-4.3,170
63635,BA,53.99695444,-127.4679801,-9999,863,219,-3.7,170
-50520000,BA,54.87044284,-127.5869092,-9999,651,109,-4.1,170
EP1392-STRO,BA,52.02803,-122.73964,1360,816,244,-4.4,169
68343,BA,55.24735537,-127.3480829,-9999,718,69,-4,169
16484,BA,54.9287273,-127.69522,-9999,657,104,-4.1,169
209,BA,54.78078139,-127.7449267,-9999,721,131,-3.7,168
EP1392-STRO,BG,52.02803,-122.73964,1360,816,244,-4.4,169
-384160000,BG,55.58613467,-122.8170043,-9999,854,76,-3.8,163
-621210000,BG,54.27253383,-124.3873585,-9999,1017,229,-3.3,160
EP1392-MACS,BG,55.25278,-123.09342,705,1088,204,-3.1,159
EP1392-MACN,BG,55.46556,-123.28436,688,1067,225,-3.1,158
EP1392-LIKE,BG,52.57417,-121.84361,952,1182,228,-2.3,153
EP1392-GAVN,BG,52.45811,-121.66572,980,1176,229,-2.3,151
EP1392-HAIN,BG,59.42233,-136.25567,183,1048,212,-2.3,151
EP1392-MCLE,BG,52.4925,-122.14028,950,1203,261,-2,150
36425,BG,54.8932094,-128.9142402,-9999,1199,178,-0.7,147
EP1392-STRO,CW,52.02803,-122.73964,1360,816,244,-4.4,169
16713,CW,55.34794726,-127.2643628,-9999,692,65,-4.1,168
36599,CW,54.49920398,-127.8549615,-9999,678,118,-3.9,168
71485,CW,52.74106665,-119.4532356,-9999,772,40,-3.7,167
92353,CW,54.97465063,-127.8181591,-9999,660,113,-3.9,166
1442397,CW,52.77081873,-119.0591853,-9999,839,76,-3.4,166
105014,CW,55.39532347,-127.5268942,-9999,744,66,-3.8,166
84800,CW,52.5813064,-119.0285313,-9999,677,13,-3.9,165
-688810000,CW,52.35634831,-120.6708934,-9999,897,34,-3.4,164
71485,CW,52.73590362,-119.4324621,-9999,883,86,-3.1,164
EP0904.02PALM,FD,52.00828988,-122.8446429,1250,939,290,-4,169
EP0976_02,FD,56.357806,-129.281583,610,920,100,-3,163
EP0976.07.13.02E,FD,55.43596735,-120.5937644,-9999,963,151,-3.9,162
EP0976.07.13.02W,FD,55.4356993,-120.597204,-9999,956,151,-3.9,162
EP0904.02PRAI.2,FD,52.37894768,-120.9544277,-9999,1006,66,-2.9,158
EP0904.02PRAI.1,FD,52.38010296,-120.9559342,1140,1024,71,-2.8,157
EP0904.02PRAI.3,FD,52.38470103,-120.9527889,-9999,1008,68,-2.9,157
EP0976.07.13.03N,FD,55.6893365,-121.8063518,-9999,920,105,-3.7,157
EP0976.07.13.03S,FD,55.68732927,-121.8077684,-9999,908,105,-3.7,157
EP0976.07.13.01N,FD,56.67156598,-121.5740637,-9999,1093,156,-3.8,152
EP1392-RISK,FDC,52.01028,-122.72722,1420,788,235,-4.5,169
EP1392-STRO,FDC,52.02803,-122.73964,1360,816,244,-4.4,169
EP1392-WHRS,FDC,60.85,-135.21667,640,1243,293,-2.6,163
1682215,FDI,53.32050863,-124.4206645,-9999,829,221,-5,178
94012,FDI,52.9088724,-123.6185649,-9999,915,256,-4.7,176
76172,FDI,52.91952867,-123.6248855,-9999,914,254,-4.7,176
68294,FDI,52.87160374,-123.6170235,-9999,947,268,-4.6,175
56660,FDI,52.86207557,-123.6290085,-9999,931,263,-4.7,175
34654,FDI,52.86025462,-123.6274022,-9999,935,263,-4.6,175
-469510000,FDI,52.93223926,-123.6675095,-9999,915,254,-4.8,175
76158,FDI,52.91823181,-123.6200103,-9999,923,259,-4.7,175
85991,FDI,52.87132105,-123.6214857,-9999,947,268,-4.6,175
1685388,FDI,55.14635194,-126.7731516,-9999,713,152,-4.5,175
-702290000,LS,57.1513,-130.258,780,759,164,-4.4,172
-400480000,LS,55.5472,-127.2217,1210,593,60,-4.7,171
34758,LS,54.8815,-127.6491,1150,605,93,-4.3,170
93L003.0.0.5,LS,54.01806,-127.40361,940,866,228,-3.7,170
EP0904.02PALM,LS,52.00828988,-122.8446429,1250,939,290,-4,169
1145350,LW,52.80843337,-123.2974438,-9999,735,171,-5.5,178
1145330,LW,52.81338263,-123.3028521,-9999,718,162,-5.6,178
2745,LW,53.00475225,-124.0087762,-9999,773,207,-5.6,177
2453,LW,53.00253036,-123.9930234,-9999,766,204,-5.6,177
1115551,LW,52.89157772,-123.230518,-9999,743,140,-5.3,176
1249251,LW,52.8420395,-123.2254338,-9999,774,168,-5.2,175
1103995,LW,52.90094847,-123.2198684,-9999,765,148,-5.1,174
1250132,LW,52.66808761,-123.0985921,-9999,806,218,-4.9,174
1187863,LW,52.68121663,-123.0853549,-9999,820,214,-4.8,173
1250133,LW,52.66259183,-123.0734603,-9999,821,221,-4.7,173
70086,PA,52.39041049,-124.7052675,-9999,503,163,-6.6,184
